age_description,jaw_description,eyes_description,hair_description,nose_description,race_description,beard_description,gender_description,eyebrows_description,expression_description,additionalInfo_description,Attractive_og_img,Race_og_img,Memorable_og_img,Filename_og_img,AWSFile_og_img,ParticipantId,Task Data,Submitted Data,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status
mid 20s,medium jawline,"medium, almond shaped, eyes","Short, buzzcut, brown, curly hair","short, upturned nose ",black,"goatee and mustache, no beard. ",male,"brown, angled brows ",neutral,,3.0,2.0,3.0,Google_1_Wendy Wortham_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Wendy%20Wortham_5_oval.jpg,6D92E019432848D2BF846DC68D0C3116,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Wendy Wortham_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Wendy%20Wortham_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":166}","{""Data"":{""taskData"":{""age"":""mid 20s"",""jaw"":""medium jawline"",""eyes"":""medium, almond shaped, eyes"",""hair"":""Short, buzzcut, brown, curly hair"",""nose"":""short, upturned nose "",""race"":""black"",""beard"":""goatee and mustache, no beard. "",""gender"":""male"",""eyebrows"":""brown, angled brows "",""expression"":""neutral""}}}",24,"Bachelor's degree (for example: BA, AB, BS)",Female,"Transportation, Distribution & Logistics",In a relationship,Democrat,Woman,United States,Prefer not to say,Chinese,Full-time
around mid-60s,"rounded jaw, chin not very pronounced","dark colored eyes, appeared to be brown or hazel",short blonde with few white hairs,"pointed, wide nostrils",white,none,female,thin blonde,smiling,appeared to be wearing small earrings,2.0,1.0,2.0,Google_1_Priscilla Terry_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Priscilla%20Terry_3_oval.jpg,3165CBE0F9414E718172C1D9A6AF8AF1,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Priscilla Terry_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Priscilla%20Terry_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":56}","{""Data"":{""taskData"":{""age"":""around mid-60s"",""jaw"":""rounded jaw, chin not very pronounced"",""eyes"":""dark colored eyes, appeared to be brown or hazel"",""hair"":""short blonde with few white hairs"",""nose"":""pointed, wide nostrils"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin blonde"",""expression"":""smiling"",""additionalInfo"":""appeared to be wearing small earrings""}}}",18,High school graduate - high school diploma or the equivalent (for example: GED),Prefer not to say,Other,In a relationship,Democrat,Woman,United States,"$50,000-$59,999",White,Unemployed
30s,sculpted,"small, brown","short, wavy brunette","short bridge, large nostrils",white,none,female,slightly thick,smiling,,3.0,1.0,3.0,Google_1_Kara Tsang_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Kara%20Tsang_15_oval.jpg,CE3D68BEAB7F4C2692E912DDAEA7894C,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Kara Tsang_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Kara%20Tsang_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":161}","{""Data"":{""taskData"":{""age"":""30s"",""jaw"":""sculpted"",""eyes"":""small, brown"",""hair"":""short, wavy brunette"",""nose"":""short bridge, large nostrils"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""slightly thick"",""expression"":""smiling""}}}",49,"Bachelor's degree (for example: BA, AB, BS)",Female,"Science, Technology, Engineering & Mathematics",Divorced,Something else,Woman,United States,"$125,000-$149,999",White,Part-time
45,d,"brown, happy",brown wavy,Medium ,white,,female,brown ,smiling,,2.0,1.0,4.0,Google_1_Mark Fleetwood_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Mark%20Fleetwood_1_oval.jpg,D5DEED2220B549228049E73A3F8838E6,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Mark Fleetwood_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Mark%20Fleetwood_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":168}","{""Data"":{""taskData"":{""age"":""45"",""jaw"":""d"",""eyes"":""brown, happy"",""hair"":""brown wavy"",""nose"":""Medium "",""race"":""white"",""gender"":""female"",""eyebrows"":""brown "",""expression"":""smiling""}}}",24,"Bachelor's degree (for example: BA, AB, BS)",Female,Information Technology,In a relationship,Independent,Woman,United States,"$125,000-$149,999",White,Part-time
around 40,"square, not jutting",medium brown,medium short brown,"straight, average size, not prominent",white,brown mustache,male,moderate light brown,smiling,,3.0,1.0,3.0,Google_1_Sue Meeker_11_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Sue%20Meeker_11_oval.jpg,07CBE1A0E24A42018158AA7824DE1CC1,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Sue Meeker_11_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Sue%20Meeker_11_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":158}","{""Data"":{""taskData"":{""age"":""around 40"",""jaw"":""square, not jutting"",""eyes"":""medium brown"",""hair"":""medium short brown"",""nose"":""straight, average size, not prominent"",""race"":""white"",""beard"":""brown mustache"",""gender"":""male"",""eyebrows"":""moderate light brown"",""expression"":""smiling""}}}",68,"Professional degree (for example: MD, DDS, DVM, LLB, JD)",Male,Legal,Married,Democrat,Man,United States,"$125,000-$149,999",White,Part-time
early 40s,not too square or noticeable.,brown to possibly hazel touches,"Brown, cut short","average size, appropriate for face, not noticeably large or small",white,No beard,male,brown,smiling,"Nice smile, straight teeth, some wrinkles in face , hair could have a touch of reddish brown",4.0,1.0,3.0,Google_1_Christopher Krebs_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Christopher%20Krebs_1_oval.jpg,A0938CDD1B0E465898329189B95F21BA,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Christopher Krebs_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Christopher%20Krebs_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":172}","{""Data"":{""taskData"":{""age"":""early 40s"",""jaw"":""not too square or noticeable."",""eyes"":""brown to possibly hazel touches"",""hair"":""Brown, cut short"",""nose"":""average size, appropriate for face, not noticeably large or small"",""race"":""white"",""beard"":""No beard"",""gender"":""male"",""eyebrows"":""brown"",""expression"":""smiling"",""additionalInfo"":""Nice smile, straight teeth, some wrinkles in face , hair could have a touch of reddish brown""}}}",67,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Education & Training,Divorced,Democrat,Woman,United States,"$225,000-$249,999",White,Unemployed
"late teens, early 20s",square,blue,"wavy blondish, brown",medium nostrils,white,none,male,dirty blonde,smiling,"n/a
",2.0,1.0,3.0,Google_1_Teresa Peyton_7_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Teresa%20Peyton_7_oval.jpg,9089405D45634C35A798EC274EA35117,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Teresa Peyton_7_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Teresa%20Peyton_7_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":173}","{""Data"":{""taskData"":{""age"":""late teens, early 20s"",""jaw"":""square"",""eyes"":""blue"",""hair"":""wavy blondish, brown"",""nose"":""medium nostrils"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""dirty blonde"",""expression"":""smiling"",""additionalInfo"":""n/a\n""}}}",49,"Associate degree (for example: AA, AS)",Female,Other,Divorced,Republican,Woman,United States,"$50,000-$59,999",White,Full-time
40s,none,has one,brown,wide,white,smiling,male,blue,smiling,,2.0,1.0,2.0,Google_1_Jerry Strong_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Jerry%20Strong_9_oval.jpg,F1ED2CAA3EE7498988BFA1C076DFE597,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Jerry Strong_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Jerry%20Strong_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":175}","{""Data"":{""taskData"":{""age"":""40s"",""jaw"":""none"",""eyes"":""has one"",""hair"":""brown"",""nose"":""wide"",""race"":""white"",""beard"":""smiling"",""gender"":""male"",""eyebrows"":""blue"",""expression"":""smiling""}}}",42,"Associate degree (for example: AA, AS)",Female,Business Management & Administration,Married,Republican,Woman,United States,"$100,000-$124,999",White,"Not in paid work (e.g., homemaker, disabled)"
mid-30s ,"round, chubby",large blue,light brown,"rounded, normal nostrils",white,none,male,bushy light brown,smiling,looks friendly ,3.0,1.0,2.0,Google_1_Jose Bustamante_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Jose%20Bustamante_15_oval.jpg,F2AFF63B730643B888ED9AFC0B4A40A4,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Jose Bustamante_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Jose%20Bustamante_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":139}","{""Data"":{""taskData"":{""age"":""mid-30s "",""jaw"":""round, chubby"",""eyes"":""large blue"",""hair"":""light brown"",""nose"":""rounded, normal nostrils"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""bushy light brown"",""expression"":""smiling"",""additionalInfo"":""looks friendly ""}}}",31,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Medicine,Married,Democrat,Woman,United States,"$125,000-$149,999",White,Unemployed
mid-20s,slender,blue,reddish brown,smaller,white,no beard,female,"thinner, brown",smiling,"gold earrings, smiling",4.0,1.0,4.0,Google_1_Peter Paschall_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Peter%20Paschall_9_oval.jpg,AD7705D744C740E1B6060EE39627C259,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Peter Paschall_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Peter%20Paschall_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":16}","{""Data"":{""taskData"":{""age"":""mid-20s"",""jaw"":""slender"",""eyes"":""blue"",""hair"":""reddish brown"",""nose"":""smaller"",""race"":""white"",""beard"":""no beard"",""gender"":""female"",""eyebrows"":""thinner, brown"",""expression"":""smiling"",""additionalInfo"":""gold earrings, smiling""}}}",34,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Information Technology,Married,Democrat,Woman,United States,"$125,000-$149,999",White,Full-time
Mid 30's,Rounded jaw,Large blue,Very short,skinny nose,white,No beard,male,"This, brown",smiling,"Bigger ears, bright lips - kind of feminine",3.0,1.0,3.0,Google_1_Joseph Jansen_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Joseph%20Jansen_3_oval.jpg,FF5C819FAFA14B25B79605328A192CEB,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Joseph Jansen_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Joseph%20Jansen_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":177}","{""Data"":{""taskData"":{""age"":""Mid 30\u0027s"",""jaw"":""Rounded jaw"",""eyes"":""Large blue"",""hair"":""Very short"",""nose"":""skinny nose"",""race"":""white"",""beard"":""No beard"",""gender"":""male"",""eyebrows"":""This, brown"",""expression"":""smiling"",""additionalInfo"":""Bigger ears, bright lips - kind of feminine""}}}",47,"Bachelor's degree (for example: BA, AB, BS)",Male,Business Management & Administration,Married,Republican,Man,United States,"$150,0000-$174,999",White,Full-time
40ish,average sharp,large brown,short conservative brown,long thin,white,none,male,normal brown,smiling,clean shaven,3.0,1.0,3.0,Google_1_Richard Byers_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Richard%20Byers_9_oval.jpg,BB5CA56ED90246A8B95B68F16B61934F,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Richard Byers_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Richard%20Byers_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":178}","{""Data"":{""taskData"":{""age"":""40ish"",""jaw"":""average sharp"",""eyes"":""large brown"",""hair"":""short conservative brown"",""nose"":""long thin"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""normal brown"",""expression"":""smiling"",""additionalInfo"":""clean shaven""}}}",58,"Some college, but no degree",Female,Arts,Divorced,Democrat,Woman,United States,"$20,000-$29,999",White,Full-time
60 ish,"rounded, terse","medium, squinted hazel","Shaggy, greying, balding, brownish with lighter ends like a smoker has","refined bridge, bulbous end",white,"Unshaven, needs a shave, five o'clock shadow",male,Unkempt mousy brown,smiling,,3.0,1.0,3.0,Google_1_Laura Dexter_11_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Laura%20Dexter_11_oval.jpg,755DFFC11EE74976929C37FF43133426,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Laura Dexter_11_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Laura%20Dexter_11_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":179}","{""Data"":{""taskData"":{""age"":""60 ish"",""jaw"":""rounded, terse"",""eyes"":""medium, squinted hazel"",""hair"":""Shaggy, greying, balding, brownish with lighter ends like a smoker has"",""nose"":""refined bridge, bulbous end"",""race"":""white"",""beard"":""Unshaven, needs a shave, five o\u0027clock shadow"",""gender"":""male"",""eyebrows"":""Unkempt mousy brown"",""expression"":""smiling""}}}",40,"Associate degree (for example: AA, AS)",Female,Arts,Married,Independent,Woman,United States,"$100,000-$124,999",White,Full-time
48,round jaw,brown,brown hair with yellow highlights,tall nose,white,none,female,brown,smiling,"white teeth, smile lines, some wrinkles",2.0,1.0,2.0,Google_1_Becky Richmond_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Becky%20Richmond_1_oval.jpg,8FDB4436C83A472D9C703368E81AC551,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Becky Richmond_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Becky%20Richmond_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":181}","{""Data"":{""taskData"":{""age"":""48"",""jaw"":""round jaw"",""eyes"":""brown"",""hair"":""brown hair with yellow highlights"",""nose"":""tall nose"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""brown"",""expression"":""smiling"",""additionalInfo"":""white teeth, smile lines, some wrinkles""}}}",27,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Education & Training,In a relationship,Democrat,Woman,United States,"$40,000-$49,999",An ethnicity not listed here,Full-time
